,realtime_start,realtime_end,date,value,pct_change
0,2025-04-10,2025-04-10,2020-01-01,259.127,
1,2025-04-10,2025-04-10,2020-02-01,259.25,0.04746707213065804
2,2025-04-10,2025-04-10,2020-03-01,258.076,-0.4528447444551498
3,2025-04-10,2025-04-10,2020-04-01,256.032,-0.7920147553434065
4,2025-04-10,2025-04-10,2020-05-01,255.802,-0.08983252093487382
5,2025-04-10,2025-04-10,2020-06-01,257.042,0.4847499237691677
6,2025-04-10,2025-04-10,2020-07-01,258.352,0.5096443382793581
7,2025-04-10,2025-04-10,2020-08-01,259.316,0.3731343283582156
8,2025-04-10,2025-04-10,2020-09-01,259.997,0.2626139536318739
9,2025-04-10,2025-04-10,2020-10-01,260.319,0.1238475828567287
10,2025-04-10,2025-04-10,2020-11-01,260.911,0.2274132890799363
11,2025-04-10,2025-04-10,2020-12-01,262.045,0.4346309661148906
12,2025-04-10,2025-04-10,2021-01-01,262.639,0.226678623900467
13,2025-04-10,2025-04-10,2021-02-01,263.573,0.3556212139095738
14,2025-04-10,2025-04-10,2021-03-01,264.847,0.4833575517978028
15,2025-04-10,2025-04-10,2021-04-01,266.625,0.6713309948762847
16,2025-04-10,2025-04-10,2021-05-01,268.404,0.6672292545710334
17,2025-04-10,2025-04-10,2021-06-01,270.71,0.8591526206762845
18,2025-04-10,2025-04-10,2021-07-01,271.965,0.46359572974770114
19,2025-04-10,2025-04-10,2021-08-01,272.752,0.28937547110843287
20,2025-04-10,2025-04-10,2021-09-01,273.942,0.4362937760309826
21,2025-04-10,2025-04-10,2021-10-01,276.528,0.9439954442911347
22,2025-04-10,2025-04-10,2021-11-01,278.824,0.830295666261649
23,2025-04-10,2025-04-10,2021-12-01,280.806,0.7108426821220482
24,2025-04-10,2025-04-10,2022-01-01,282.542,0.6182204083958309
25,2025-04-10,2025-04-10,2022-02-01,284.525,0.7018425579205845
26,2025-04-10,2025-04-10,2022-03-01,287.467,1.0340040418240992
27,2025-04-10,2025-04-10,2022-04-01,288.582,0.3878706077567129
28,2025-04-10,2025-04-10,2022-05-01,291.299,0.9415001628653163
29,2025-04-10,2025-04-10,2022-06-01,295.072,1.2952327333770608
30,2025-04-10,2025-04-10,2022-07-01,294.94,-0.04473484437697017
31,2025-04-10,2025-04-10,2022-08-01,295.162,0.07526954634839989
32,2025-04-10,2025-04-10,2022-09-01,296.421,0.4265454225137466
33,2025-04-10,2025-04-10,2022-10-01,297.979,0.5256037865063456
34,2025-04-10,2025-04-10,2022-11-01,298.708,0.24464811278648302
35,2025-04-10,2025-04-10,2022-12-01,298.808,0.03347750980888797
36,2025-04-10,2025-04-10,2023-01-01,300.456,0.5515247249069821
37,2025-04-10,2025-04-10,2023-02-01,301.476,0.33948398434380245
38,2025-04-10,2025-04-10,2023-03-01,301.643,0.05539412755906081
39,2025-04-10,2025-04-10,2023-04-01,302.858,0.4027940313549472
40,2025-04-10,2025-04-10,2023-05-01,303.316,0.15122598709624846
41,2025-04-10,2025-04-10,2023-06-01,304.099,0.2581466193672721
42,2025-04-10,2025-04-10,2023-07-01,304.615,0.16968158395787025
43,2025-04-10,2025-04-10,2023-08-01,306.138,0.49997537875678955
44,2025-04-10,2025-04-10,2023-09-01,307.374,0.4037394900339164
45,2025-04-10,2025-04-10,2023-10-01,307.653,0.09076890042749586
46,2025-04-10,2025-04-10,2023-11-01,308.087,0.14106802143973862
47,2025-04-10,2025-04-10,2023-12-01,308.735,0.21033019893732519
48,2025-04-10,2025-04-10,2024-01-01,309.794,0.34301261599751776
49,2025-04-10,2025-04-10,2024-02-01,311.022,0.3963924414288167
50,2025-04-10,2025-04-10,2024-03-01,312.107,0.34884992058441533
51,2025-04-10,2025-04-10,2024-04-01,313.016,0.2912462713108077
52,2025-04-10,2025-04-10,2024-05-01,313.14,0.03961458839163434
53,2025-04-10,2025-04-10,2024-06-01,313.131,-0.0028741138149102063
54,2025-04-10,2025-04-10,2024-07-01,313.566,0.1389194937581939
55,2025-04-10,2025-04-10,2024-08-01,314.131,0.1801853517281904
56,2025-04-10,2025-04-10,2024-09-01,314.851,0.22920373984103293
57,2025-04-10,2025-04-10,2024-10-01,315.564,0.2264563237849071
58,2025-04-10,2025-04-10,2024-11-01,316.449,0.2804502414724075
59,2025-04-10,2025-04-10,2024-12-01,317.603,0.36467171645351293
60,2025-04-10,2025-04-10,2025-01-01,319.086,0.46693513600313263
61,2025-04-10,2025-04-10,2025-02-01,319.775,0.2159292479143371
62,2025-04-10,2025-04-10,2025-03-01,319.615,-0.05003518098661841
