date,forward_pe
2025-07-07,22.21
2025-07-08,22.19
2025-07-09,22.33
2025-07-10,22.39
2025-07-11,22.31
2025-07-14,22.34
2025-07-15,22.26
2025-07-16,22.33
2025-07-17,22.45
2025-07-18,22.45
2025-07-21,22.48
2025-07-22,22.49
2025-07-23,22.67
2025-07-24,22.68
2025-07-25,22.77
2025-07-28,22.78
2025-07-29,22.71
2025-07-30,22.68
2025-07-31,22.6
2025-08-01,22.24
2025-08-04,22.56
2025-08-05,22.45
2025-08-06,22.62
2025-08-07,22.6
2025-08-08,22.78
2025-08-11,22.73
2025-08-12,22.99
2025-08-13,23.05
2025-08-14,23.06
2025-08-15,22.99
2025-08-18,22.99
2025-08-19,22.85
2025-08-20,22.8
2025-08-21,22.71
2025-08-22,23.05
2025-08-25,22.95
2025-08-26,23.05
2025-08-27,23.1
2025-08-28,23.18
2025-08-29,23.03
2025-09-02,22.87
2025-09-03,22.94
2025-09-04,23.13
2025-09-05,23.05
2025-09-08,23.1
2025-09-09,23.16
